,station_id,station_line,boro,lines,long,name,Complex ID,lat,line_,dir,pf_id,node_id
1279,G18,2,Q,M R,-73.91273299999999,46 St,270,40.756912,R,N,G18-R-N,G18-R-N
1280,G19,1,Q,M R,-73.92074,Steinway St,271,40.758078999999995,M,N,G19-M-N,G19-M-N
1281,G19,2,Q,M R,-73.92013999999999,Steinway St,271,40.757479,R,N,G19-R-N,G19-R-N
1282,G20,1,Q,M R,-73.928781,36 St,272,40.753239,M,N,G20-M-N,G20-M-N
1283,G20,2,Q,M R,-73.928181,36 St,272,40.752639,R,N,G20-R-N,G20-R-N
1284,G21,1,Q,E M R,-73.937243,Queens Plaza,273,40.750173,E,N,G21-E-N,G21-E-N
1285,G21,2,Q,E M R,-73.93664299999999,Queens Plaza,273,40.749573,M,N,G21-M-N,G21-M-N
1286,G21,3,Q,E M R,-73.937243,Queens Plaza,273,40.748973,R,N,G21-R-N,G21-R-N
1287,G22,1,Q,G,-73.943832,Court Sq,606,40.747754,G,N,G22-G-N,G22-G-N
1288,G24,1,Q,G,-73.949724,21 St,282,40.745264999999996,G,N,G24-G-N,G24-G-N
1289,G26,1,Bk,G,-73.954449,Greenpoint Av,283,40.732552,G,N,G26-G-N,G26-G-N
1290,G28,1,Bk,G,-73.951277,Nassau Av,284,40.725835,G,N,G28-G-N,G28-G-N
1291,G29,1,Bk,G,-73.951418,Metropolitan Av,629,40.713992,G,N,G29-G-N,G29-G-N
1292,G30,1,Bk,G,-73.950308,Broadway,286,40.707291999999995,G,N,G30-G-N,G30-G-N
1293,G31,1,Bk,G,-73.950234,Flushing Av,287,40.701577,G,N,G31-G-N,G31-G-N
1294,G32,1,Bk,G,-73.949046,Myrtle - Willoughby Avs,288,40.695767999999994,G,N,G32-G-N,G32-G-N
1295,G33,1,Bk,G,-73.953522,Bedford - Nostrand Avs,289,40.690827,G,N,G33-G-N,G33-G-N
1296,G34,1,Bk,G,-73.96007,Classon Av,290,40.690073,G,N,G34-G-N,G34-G-N
1297,G35,1,Bk,G,-73.966839,Clinton - Washington Avs,291,40.689288999999995,G,N,G35-G-N,G35-G-N
1298,G36,1,Bk,G,-73.975375,Fulton St,292,40.688319,G,N,G36-G-N,G36-G-N
1299,H01,1,Q,A,-73.834058,Aqueduct Racetrack,196,40.669433999999995,A,N,H01-A-N,H01-A-N
